source_id,source_name,organization,data_type,commercial_or_public,country,geographic_scope,population_description,approx_population,longitudinal,lpa_available,lpa_units_mg_dl,lpa_units_nmol_l,lpa_assay_documented,ascvd,myocardial_infarction,stroke,revascularization,aortic_stenosis,heart_failure,mortality,medications,dispensing_claims,healthcare_utilization,cost_data,insurance_payer,race_ethnicity,socioeconomic_variables,genetic_data,imaging_data,testing_patterns_use,epidemiology_use,cv_outcomes_use,treatment_patterns_use,health_equity_use,heor_use,genetics_use,key_strengths,key_limitations,published_lpa_example,primary_source,secondary_source,last_verified,verification_status
FAMILYHEART,Family Heart Database,Family Heart Foundation; source data from Symphony Health / ICON,Longitudinal medical claims + linked laboratory data,Non-public / research access,United States,National U.S.,U.S. individuals with longitudinal medical-claims activity; enriched for lipid-disorder and cardiovascular-risk research,"~340 million individuals in source database; 1,232,206 with ≥1 Lp(a) result in nmol/L and 46,059 in mg/dL",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Partial,Yes,Unknown,Unknown,Yes,Unknown,No,Unknown,3,3,3,3,2,2,0,"Very large national claims footprint; linked laboratory data; >1.2M people with Lp(a) in nmol/L; long longitudinal observation; medication, diagnosis, procedure, and surgery coding; assay characteristics documented in published Lp(a) work.",Cost and payer fields were not established from the reviewed publication; claims-derived clinical detail is limited; laboratory availability applies to only a subset of the source population.,"Lipoprotein(a) and recurrent atherosclerotic cardiovascular events: the US Family Heart Database (European Heart Journal, 2025)",https://pmc.ncbi.nlm.nih.gov/articles/PMC12634116/,https://pubmed.ncbi.nlm.nih.gov/40331569/,2026-09-09,Verified from peer-reviewed publication
HEALTHVERITY,HealthVerity linked claims + laboratory + mortality data,HealthVerity,Closed medical and pharmacy claims + deterministically linked laboratory and mortality data,Commercial,United States,U.S.,Deidentified U.S. individuals represented in closed medical/pharmacy claims with linked laboratory and mortality data,">240 million individuals in source data; 731,983 in published Lp(a) derivation cohort",Yes,Yes,Unknown,Yes,Limited,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Partial,Yes,Unknown,No,Unknown,2,3,3,3,2,2,0,Closed medical and pharmacy claims linked to cholesterol laboratory and mortality data; very large U.S. scale; strong fit for longitudinal ASCVD outcomes and treatment-pattern analyses.,"Published Lp(a) paper does not establish cost fields, full payer detail, genomics, or imaging availability; laboratory linkage and assay detail require protocol-specific verification.","Elevated Lipoprotein(a) Independently Increases Risk for Short-Term Atherosclerotic Cardiovascular Events in Machine Learning Predictive Models (JACC: Advances, 2025)",https://www.jacc.org/doi/full/10.1016/j.jacadv.2025.102253,,2026-09-09,Verified from peer-reviewed publication
OPTUMMC,Optum Market Clarity,Optum,Linked electronic health record + medical/pharmacy claims,Commercial,United States,U.S.,Deidentified linked EHR and claims data; used as an independent validation cohort in published Lp(a) research,"53,930 individuals with Lp(a) measurements in published validation cohort",Yes,Yes,Unknown,Yes,Limited,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Partial,Partial,Yes,Unknown,No,Partial,2,3,3,3,2,3,0,"Links EHR clinical detail with claims; demonstrated Lp(a) availability in a 53,930-person validation cohort; potentially strong for outcomes, treatment, utilization, and HEOR questions.","The reviewed Lp(a) publication does not fully document cost-field completeness, payer granularity, mortality capture, assay characteristics, or imaging availability; these require product-level verification.","Independent EHR + linked-claims validation cohort in Ward et al., JACC: Advances (2025)",https://www.jacc.org/doi/full/10.1016/j.jacadv.2025.102253,,2026-09-09,Verified from peer-reviewed publication; some capabilities provisional
CANLPA,Canadian Lipoprotein(a) Registry,Canadian Lp(a) Registry investigators,Prospective longitudinal disease-specific registry,Academic / registry,Canada,Canada,"Patients with elevated Lp(a), defined as ≥100 nmol/L (≥50 mg/dL), followed prospectively",Not established from the abstract reviewed,Yes,Yes,Yes,Yes,Unknown,Yes,Partial,Partial,Partial,Unknown,Unknown,Partial,Unknown,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,1,3,3,2,1,1,1,"Lp(a)-specific prospective longitudinal registry; baseline and annual collection of demographics, cardiovascular risk factors, laboratory results, and clinical outcomes.","Not designed as a claims/HEOR database; published design abstract does not establish payer, utilization, cost, genetics, imaging, race/ethnicity, or detailed medication capture.","Rationale and Design of the Canadian Lipoprotein(a) Registry (CJC Open, 2026)",https://www.sciencedirect.com/science/article/pii/S2589790X26002258,,2026-09-09,Verified from published registry-design article; detailed fields pending
PCORNET,PCORnet,PCORI / PCORnet Network Partners,Distributed multi-health-system EHR network / common data model,Research network,United States,National U.S.; >50 million people represented annually,Patients receiving routine care across participating U.S. health systems; data standardized to the PCORnet Common Data Model,">50 million people represented annually; published Lp(a) study included 20,551 adults with Lp(a) results across 11 health systems",Yes,Yes,Yes,Yes,Limited,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Partial,Yes,Unknown,Partial,Yes,Partial,Partial,Partial,3,3,3,3,3,2,1,"National distributed EHR network with standardized labs, prescribing/dispensing, diagnoses, procedures, encounters, mortality, and race/ethnicity. Published Lp(a) work directly evaluated testing, treatment initiation, and CV hospitalizations.","Capabilities vary by Network Partner; payer, SDOH, imaging, biobank/genetic linkage and dispensing completeness are not uniform. Published Lp(a) analysis used 11 selected systems.","Contemporary patterns of lipoprotein(a) testing and associated clinical care and outcomes (Am J Prev Cardiol, 2023)",https://pmc.ncbi.nlm.nih.gov/articles/PMC10070377/,https://pcornet.org/data/,2026-09-09,Verified from peer-reviewed Lp(a) publication + PCORnet documentation
REGARDS,REGARDS,University of Alabama at Birmingham / NIH-supported investigators,Prospective population-based cohort,Academic / proposal-based access,United States,48 contiguous U.S. states + DC; Stroke Belt and Black participants oversampled,"30,239 Black and White adults aged ≥45 enrolled 2003–2007 for study of geographic and racial differences in stroke","30,239 overall; multiple Lp(a) case-cohort subsets",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Partial,Yes,Yes,No,Limited,No,Limited,Yes,Yes,Partial,Partial,1,3,3,2,3,1,2,"Large national prospective cohort designed for racial/geographic disparity research; rigorous adjudication of stroke/CHD; medication reconciliation, blood samples, socioeconomic data, and documented Lp(a) assays.",Lp(a) measured in nested subsets rather than entire cohort; Black and White adults only; not a claims/cost database; proposal and IRB/DUA governance required.,"Lp(a) and Risk of Ischemic Stroke in REGARDS (ATVB, 2019); secondary-prevention analysis (JAHA, 2022)",https://pmc.ncbi.nlm.nih.gov/articles/PMC6511401/,https://www.uab.edu/soph/regardsstudy/data-sharing,2026-09-09,Verified from peer-reviewed publications + study access documentation
DHS,Dallas Heart Study,UT Southwestern Medical Center,Multiethnic population-based cohort / biobank,Academic cohort,United States,"Dallas County, Texas",Multiethnic probability sample enriched for Black participants with deep cardiovascular phenotyping,"~3,500 phenotyped participants; 2,078 with both Lp(a) and CAC in published outcomes analysis",Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Partial,Unknown,Partial,Yes,Yes,No,Limited,No,Unknown,Yes,Partial,Yes,Yes,1,3,3,1,3,0,3,"Deep multiethnic phenotyping with Lp(a), apo(a) isoforms/genetic information and cardiovascular imaging including coronary artery calcium; longitudinal ASCVD outcomes.",Regional cohort with modest sample size; not routine-care EHR/claims; no dispensing or cost data; less suited to treatment-pattern or utilization research.,"Independent Association of Lp(a) and CAC with ASCVD Risk: MESA and Dallas Heart Study (JACC, 2022)",https://pmc.ncbi.nlm.nih.gov/articles/PMC10966924/,https://pmc.ncbi.nlm.nih.gov/articles/PMC2782388/,2026-09-09,Verified from peer-reviewed publications
CGPS,Copenhagen General Population Study,Copenhagen University Hospital / Danish investigators,Prospective general-population cohort with national registry linkage,Academic cohort / governed research access,Denmark,Greater Copenhagen / Denmark registry follow-up,Large contemporary Danish general-population cohort recruited from 2003 onward,"109,440 in a published analysis; 70,286 with plasma Lp(a), 99,328 with LPA KIV-2 genotype and 108,511 with key LPA SNP genotypes",Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Partial,No,No,Limited,Partial,Yes,Partial,1,3,3,2,1,1,3,"Very large prospective population cohort with extensive Lp(a) measurement, LPA genotyping, essentially complete national registry follow-up, and broad cardiovascular/mortality endpoints.",Predominantly Danish population limits some diversity questions; not a U.S. claims/payer database; cost and insurance questions are not a core strength.,"Low lipoprotein(a) levels and risk of disease in a large contemporary general population study (Eur Heart J, 2021)",https://academic.oup.com/eurheartj/article/42/12/1147/6173737,https://pubmed.ncbi.nlm.nih.gov/31578080/,2026-09-09,Verified from peer-reviewed publications
CCHS,Copenhagen City Heart Study,Copenhagen University Hospital / Danish investigators,Prospective population-based cohort with national registry linkage,Academic cohort / governed research access,Denmark,"Copenhagen, Denmark",General-population cohort with repeated examination waves and long national-registry follow-up,"~9,000–11,000 in major Lp(a) analyses; follow-up extending decades",Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Partial,No,No,Limited,Partial,Yes,Partial,1,3,3,2,1,1,3,"Decades of prospective follow-up, Lp(a) and LPA genotype data, and national-registry ascertainment of MI, stroke, HF, aortic stenosis and mortality.",Smaller and less diverse than modern national biobanks; not a claims/cost source; treatment and utilization capture is secondary to epidemiologic use.,"Extreme Lp(a) levels and risk of myocardial infarction in the general population (Circulation, 2008)",https://pubmed.ncbi.nlm.nih.gov/18086931/,https://www.jacc.org/doi/10.1016/j.jacc.2019.03.524,2026-09-09,Verified from peer-reviewed publications
BIOMARCARE,BiomarCaRE / MORGAM consortium,BiomarCaRE / MORGAM investigators,Harmonized European prospective-cohort consortium with central biomarker laboratory,Academic consortium,Europe,Multiple European countries,Harmonized population-based cohorts with centrally stored biomaterial and standardized biomarker measurement,">300,000 participants represented in consortium; 56,804 participants from 7 cohorts in published Lp(a) analysis, 52,131 with Lp(a)",Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Partial,Partial,Unknown,Unknown,Yes,Yes,No,Limited,No,No,Limited,Partial,Partial,Limited,0,3,3,1,2,0,2,"Cross-country European harmonization, central laboratory Lp(a) measurement using the same assay, long follow-up, and standardized cardiovascular risk variables.","Consortium rather than a single routine-care database; cohort variables/access differ; not suited to payer, cost, or routine Lp(a)-testing-pattern analyses.","Lp(a) and cardiovascular disease risk in the European population: BiomarCaRE consortium (Eur Heart J, 2017)",https://pmc.ncbi.nlm.nih.gov/articles/PMC5837491/,https://pubmed.ncbi.nlm.nih.gov/28449027/,2026-09-09,Verified from peer-reviewed consortium publication
WHS,Women's Health Study,Brigham and Women's Hospital / Harvard Medical School investigators,Prospective cohort derived from a randomized primary-prevention trial,Academic / governed research access,United States,United States,Initially healthy U.S. women followed prospectively for cardiovascular outcomes,"27,791 with baseline Lp(a) in a 2006 analysis; 24,558 in a 2018 risk-prediction analysis",Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,No,Limited,No,Unknown,Yes,Partial,Partial,Limited,0,3,3,1,2,0,2,Large prospective primary-prevention cohort with baseline Lp(a) measured using an apo(a)-isoform-independent assay and long cardiovascular follow-up; recent analyses extend follow-up to 30 years.,Women only; not a routine-care EHR/claims source; no cost or dispensing data; historical cohort design limits use for current testing-pattern questions.,"Lipoprotein(a), measured with an assay independent of apo(a) isoform size, and risk of future cardiovascular events among initially healthy women (JAMA, 2006)",https://pubmed.ncbi.nlm.nih.gov/16985228/,https://pubmed.ncbi.nlm.nih.gov/39216091/,2026-09-09,Verified from peer-reviewed publications
WHIOS,Women's Health Initiative Observational Study,Women's Health Initiative / NIH,Prospective observational cohort with adjudicated outcomes and selected Medicare linkage,Academic / governed research access,United States,National U.S.; 40 clinical centers,Postmenopausal U.S. women enrolled in the WHI Observational Study,"93,676 in WHI Observational Study overall; Lp(a) available in nested/case-cohort subsets, including 1,815 CVD cases + 1,989 subcohort in a 2018 analysis",Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Partial,Yes,Yes,Partial,Partial,Partial,Partial,Yes,Yes,Partial,Partial,0,3,3,2,3,2,2,"Large national prospective study of postmenopausal women with rich demographic and socioeconomic data, adjudicated cardiovascular outcomes, measured Lp(a) in multiple ancillary studies, and Medicare claims linkage in eligible participants.",Lp(a) is not uniformly measured across the full cohort; women only and postmenopausal; Medicare linkage applies to subsets and does not make WHI a general-purpose claims database.,"Lipoprotein(a) and Cardiovascular Risk Prediction Among Women (JACC, 2018); Lp(a) and AAA risk in WHI with Medicare linkage (2020)",https://pubmed.ncbi.nlm.nih.gov/30012322/,https://pubmed.ncbi.nlm.nih.gov/32882349/,2026-09-09,Verified from peer-reviewed publications
EPICNORFOLK,EPIC-Norfolk,University of Cambridge / EPIC-Norfolk investigators,Prospective population-based cohort,Academic cohort / governed research access,United Kingdom,"Norfolk, United Kingdom",Initially healthy middle-aged and older men and women from the general population,"18,720 with Lp(a) in a 2012 vascular-outcomes analysis; 17,087 in a 2025 20-year MACE analysis",Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Partial,Unknown,Unknown,Yes,Yes,No,Limited,No,No,Limited,Yes,Partial,Limited,0,3,3,1,1,0,2,"Prospective European population cohort with measured Lp(a), detailed baseline risk factors, and long follow-up for CAD, stroke, PAD and MACE; 2025 work provides 20-year primary-prevention validation.",Regional UK cohort; not a routine-care testing or claims source; limited payer/cost utility and less diverse than U.S. multiethnic cohorts.,"Lp(a) and risk of coronary, cerebrovascular, and peripheral artery disease (ATVB, 2012); universal one-time screening analysis (Eur Heart J, 2025)",https://pmc.ncbi.nlm.nih.gov/articles/PMC4210842/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12517748/,2026-09-09,Verified from peer-reviewed publications
DECODEIS,deCODE Iceland population genetics dataset,deCODE genetics / Icelandic collaborators,Population genetics + measured/imputed biomarker data + linked disease phenotypes,Research / proprietary governed access,Iceland,Iceland,"Large Icelandic population genetics resource with measured and genetically imputed Lp(a), LPA variants, and linked disease phenotypes","143,087 Icelanders with genetic information in a 2020 Lp(a) analysis",Yes,Yes,Unknown,Yes,Yes,Yes,Partial,Partial,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,Limited,Unknown,Yes,Unknown,0,3,3,0,1,0,3,"Exceptional LPA genetic resolution, measured and genetically imputed molar Lp(a), very large population sample, and linked cardiovascular phenotypes including CAD, PAD, aortic valve stenosis, heart failure and lifespan.","Genetically homogeneous Icelandic population; proprietary/governed access; not suited to routine-care testing, treatment-pattern, payer, cost, or utilization research.","Lipoprotein(a) Concentration and Risks of Cardiovascular Disease and Diabetes (JACC, 2020)",https://pubmed.ncbi.nlm.nih.gov/31865966/,,2026-09-09,Verified from peer-reviewed publication
PHS,Physicians' Health Study,Brigham and Women's Hospital / Harvard investigators,Prospective cohort derived from randomized primary-prevention trial,Academic / governed research access,United States,United States,Predominantly White male U.S. physicians initially free of major cardiovascular disease,"14,916 men provided baseline plasma samples in a prospective Lp(a)-stroke analysis",Yes,Yes,Yes,Partial,Yes,Partial,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Limited,No,Unknown,Limited,Limited,Partial,Unknown,0,2,2,1,0,0,1,Prospective biospecimen cohort with adjudicated cardiovascular follow-up and historical Lp(a) analyses.,"Predominantly White male physicians, limiting generalizability and equity applications; older cohort; not a routine-care, claims, cost or utilization source.","Plasma concentration of lipoprotein(a) and the risk of future stroke (JAMA, 1995)",https://pubmed.ncbi.nlm.nih.gov/7715039/,,2026-09-09,Verified from peer-reviewed publication
